2021-06-04T16:28:07.415Z [AUDIT] Token created by 'anonymous': tokenId='39a85c01-b4b7-4495-8188-869016390c5d', issuer='jfrou@01f7bxmqd0dz39ytngcn94xh5x', subject='jfrou@01f7bxmqd0dz39ytngcn94xh5x', expiry=none, refreshable=false
2021-06-04T16:28:07.887Z [AUDIT] Token created by 'anonymous': tokenId='6ea977fd-8ed1-4876-89f9-153cff9b7cfb', issuer='jfac@01f7bxmgq0p92s0h4akgw40w65', subject='jfac@01f7bxmgq0p92s0h4akgw40w65', expiry=1622824207882, refreshable=false
2021-06-04T16:28:08.042Z [AUDIT] Token created by 'anonymous': tokenId='c0610b8c-af73-40c0-a017-f3295f0f3c66', issuer='jfac@01f7bxmgq0p92s0h4akgw40w65', subject='jfac@01f7bxmgq0p92s0h4akgw40w65', expiry=1622824208032, refreshable=false
2021-06-04T16:28:08.257Z [AUDIT] Token created by 'anonymous': tokenId='afa79050-fde2-43fa-8a34-7885de3629cb', issuer='jfac@01f7bxmgq0p92s0h4akgw40w65', subject='jfac@01f7bxmgq0p92s0h4akgw40w65', expiry=1622824208254, refreshable=false
2021-06-04T16:28:08.675Z [AUDIT] Token created by 'anonymous': tokenId='6f5d7e16-6e7d-4993-94fd-003d993d48a1', issuer='jfac@01f7bxmgq0p92s0h4akgw40w65', subject='jfac@01f7bxmgq0p92s0h4akgw40w65', expiry=1622824208672, refreshable=false
2021-06-04T16:28:09.496Z [AUDIT] Token created by 'anonymous': tokenId='efe78532-1760-49ef-821c-1361037095a8', issuer='jfac@01f7bxmgq0p92s0h4akgw40w65', subject='jfac@01f7bxmgq0p92s0h4akgw40w65', expiry=1622824209493, refreshable=false
2021-06-04T16:28:10.381Z [AUDIT] Token created by 'anonymous': tokenId='6f720c48-1b70-43f6-a780-662d379d8271', issuer='jfmd@01f7bxmrqwj4d6qcvhz8mqq6aw', subject='jfmd@01f7bxmrqwj4d6qcvhz8mqq6aw', expiry=none, refreshable=false
2021-06-04T16:28:10.512Z [AUDIT] Token created by 'anonymous': tokenId='222eb931-db11-47af-96be-57735857e006', issuer='jfac@01f7bxmgq0p92s0h4akgw40w65', subject='jfac@01f7bxmgq0p92s0h4akgw40w65', expiry=1622824210510, refreshable=false
2021-06-04T16:28:10.537Z [AUDIT] Token created by 'anonymous': tokenId='2c368e89-dacf-4f97-bdb7-291067438e25', issuer='jfevt@01f7bxmgq0p92s0h4akgw40w65', subject='jfevt@01f7bxmgq0p92s0h4akgw40w65', expiry=none, refreshable=false
2021-06-04T16:28:10.738Z [AUDIT] Token created by 'jfevt@01f7bxmgq0p92s0h4akgw40w65': tokenId='dd22ea31-0696-4617-94e7-100194b0cd9b', issuer='jfevt@01f7bxmgq0p92s0h4akgw40w65', subject='jfevt@01f7bxmgq0p92s0h4akgw40w65', expiry=1622910490733, refreshable=true
2021-06-04T16:28:10.747Z [AUDIT] Token created by 'jfevt@01f7bxmgq0p92s0h4akgw40w65': tokenId='9a8b9c4d-ff10-47a9-8383-7135304b708b', issuer='jfevt@01f7bxmgq0p92s0h4akgw40w65', subject='jfevt@01f7bxmgq0p92s0h4akgw40w65', expiry=1622910490732, refreshable=true
2021-06-04T16:28:10.736Z [AUDIT] Token created by 'jfevt@01f7bxmgq0p92s0h4akgw40w65': tokenId='d8923da9-e02f-4de7-9ed0-8de905a9b4e4', issuer='jfevt@01f7bxmgq0p92s0h4akgw40w65', subject='jfevt@01f7bxmgq0p92s0h4akgw40w65', expiry=1622910490729, refreshable=true
2021-06-04T16:28:10.737Z [AUDIT] Token created by 'jfevt@01f7bxmgq0p92s0h4akgw40w65': tokenId='07f2cd10-e880-42dd-94dc-2a4c556d264e', issuer='jfevt@01f7bxmgq0p92s0h4akgw40w65', subject='jfevt@01f7bxmgq0p92s0h4akgw40w65', expiry=1622910490726, refreshable=true
2021-06-04T16:28:20.240Z [AUDIT] Token created by 'anonymous': tokenId='26a6a75c-eb18-4899-9327-68441af71794', issuer='jfrt@01f7bxn7q4e1f51je0frwt1mxc', subject='jfrt@01f7bxn7q4e1f51je0frwt1mxc', expiry=none, refreshable=false
